Sat Nov 30 13:49:01 2024    profile_output.prof

         173992666 function calls (171435864 primitive calls) in 60.404 seconds

   Ordered by: cumulative time
   List reduced from 1534 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    35544    0.011    0.000    1.588    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/arraylike.py:38(__eq__)
13017/11530    0.032    0.000    1.568    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/connector.py:443(_close)
13027/11530    0.010    0.000    1.517    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/client_proto.py:66(close)
   193194    0.170    0.000    1.422    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/frame.py:4626(_get_item_cache)
    56400    0.128    0.000    1.416    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:674(_with_infer)
13028/12126    0.018    0.000    1.401    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/concurrent/futures/_base.py:537(set_result)
    15772    0.131    0.000    1.367    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/client_proto.py:239(data_received)
    14244    0.011    0.000    1.344    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/http_writer.py:75(_write)
    14244    0.009    0.000    1.330    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/sslproto.py:211(write)
    13018    0.009    0.000    1.268    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/sslproto.py:106(close)
    13018    0.014    0.000    1.251    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/sslproto.py:609(_start_shutdown)
    14860    0.195    0.000    1.250    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:708(_slice_take_blocks_ax0)
  2041605    0.573    0.000    1.249    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/bs4/element.py:2240(search_tag)
   927088    0.430    0.000    1.219    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/generic.py:6301(__setattr__)
